mix_id,sir_level_db,overlap_ratio,target_transcript,pred_transcript,wer,cer,leakage_rate
mix_librispeech_06514,5,0.4,are you certain that this is the mediterranean,are you certain that this is the mediterranean,0.0,0.0,0.0
mix_librispeech_04662,0,0.4,0 what a record to read what a picture to gaze upon how awful the fact,0 what a record to read what a picture it gets upon how awful the fact,0.125,0.07142857142857142,0.08333333333333333
mix_librispeech_01854,5,0.2,chapter 7 on the races of man,chapter 7 on the races of man,0.0,0.0,0.0
mix_librispeech_11776,5,0.1,each will therefore serve about equally well during the earlier stages of social growth,each will therefore serve about equally well during the earlier stages of social growth,0.0,0.0,0.0
mix_librispeech_02872,5,0.2,this differentiation is furthered by the inheritance of wealth and the consequent inheritance of gentility,this differentiation is furthered by the inheritance of wealth and the consequent inheritance of gentleness,0.06666666666666667,0.05660377358490566,0.0
mix_librispeech_03030,5,0.3,he darted like an arrow through all the halls down all the stairs and across the yard,he darted like an arrow through all the halls down all the stairs and across the yard,0.0,0.0,0.0
mix_librispeech_09397,5,0.1,the university,the university,0.0,0.0,0.0
mix_librispeech_01645,5,0.2,he had a good appetite could tell a good story without laughing was celebrated for his witty repartees and his sociable manners but he spent his life at home seldom going out and seeing hardly anyone because he always had a pipe in his mouth and was surrounded by at least 20 cats with which he would amuse himself all day,he had a good appetite kutella good story without laughing was celebrated for his witty repartais and his sociable manners but he spent his life at home seldom going out and seeing hardly anyone because he always had a pipe in his mouth and was surrounded by at least 20 cats with which he would amuse himself all day,0.06557377049180328,0.024844720496894408,0.0
mix_librispeech_03417,0,0.1,mister jago is an american philip,this gioca was an american philip,0.5,0.3333333333333333,0.0
mix_librispeech_03476,5,0.2,so i lived and now am your tooth thrall well it is the luck of war,so i lived and now i am your tooth thrall well is the luck of war,0.125,0.07575757575757576,0.0
mix_librispeech_01792,5,0.1,in this monotonous life of mine that was a pleasant event,in this monotonous life of mine that was a pleasant event,0.0,0.0,0.0
